,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__max_iter,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
59,3.440760294596354,1.41889544873209,0.10224032402038574,0.011472294395363082,5.994842503189409,balanced,500,lbfgs,"{'clf__C': 5.994842503189409, 'clf__class_weight': 'balanced', 'clf__max_iter': 500, 'clf__solver': 'lbfgs'}",0.8273830888561832,0.8371362107398594,0.8403708138453642,0.8349633711471355,0.00552033658517488,1
55,2.675490617752075,0.3422857858610686,0.11735343933105469,0.013389898855632206,5.994842503189409,balanced,100,lbfgs,"{'clf__C': 5.994842503189409, 'clf__class_weight': 'balanced', 'clf__max_iter': 100, 'clf__solver': 'lbfgs'}",0.8273830888561832,0.8371362107398594,0.8403708138453642,0.8349633711471355,0.00552033658517488,1
57,3.827402432759603,1.356909302116028,0.11698142687479655,0.01438124935657471,5.994842503189409,balanced,200,lbfgs,"{'clf__C': 5.994842503189409, 'clf__class_weight': 'balanced', 'clf__max_iter': 200, 'clf__solver': 'lbfgs'}",0.8273830888561832,0.8371362107398594,0.8403708138453642,0.8349633711471355,0.00552033658517488,1
54,0.5450948079427084,0.030368098743489485,0.07842850685119629,0.02005507361604594,5.994842503189409,balanced,100,liblinear,"{'clf__C': 5.994842503189409, 'clf__class_weight': 'balanced', 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.8240769903264873,0.8387477206400066,0.8412652175729405,0.834696642846478,0.007579235336797661,4
56,0.39536722501118976,0.0036563871287265846,0.05303088823954264,0.000465881101755031,5.994842503189409,balanced,200,liblinear,"{'clf__C': 5.994842503189409, 'clf__class_weight': 'balanced', 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.8240769903264873,0.8387477206400066,0.8412652175729405,0.834696642846478,0.007579235336797661,4
58,0.3912665049235026,0.0036286990803729574,0.05256883303324381,0.0014893167810154984,5.994842503189409,balanced,500,liblinear,"{'clf__C': 5.994842503189409, 'clf__class_weight': 'balanced', 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.8240769903264873,0.8387477206400066,0.8412652175729405,0.834696642846478,0.007579235336797661,4
69,4.63090713818868,1.2269648168830452,0.12809483210245767,0.005575290960250711,166.81005372000593,balanced,200,lbfgs,"{'clf__C': 166.81005372000593, 'clf__class_weight': 'balanced', 'clf__max_iter': 200, 'clf__solver': 'lbfgs'}",0.82629953707516,0.8374371942109522,0.8382860635246296,0.8340075982702473,0.005461428404018704,7
67,4.2321609656016035,1.1871014272469038,0.10834598541259766,0.013228081363209332,166.81005372000593,balanced,100,lbfgs,"{'clf__C': 166.81005372000593, 'clf__class_weight': 'balanced', 'clf__max_iter': 100, 'clf__solver': 'lbfgs'}",0.82629953707516,0.8374371942109522,0.8382860635246296,0.8340075982702473,0.005461428404018704,7
71,4.298083225886027,1.0968975840066573,0.11113222440083821,0.015459132469312383,166.81005372000593,balanced,500,lbfgs,"{'clf__C': 166.81005372000593, 'clf__class_weight': 'balanced', 'clf__max_iter': 500, 'clf__solver': 'lbfgs'}",0.82629953707516,0.8374371942109522,0.8382860635246296,0.8340075982702473,0.005461428404018704,7
70,0.4963020483652751,0.009976709089182887,0.05253028869628906,0.0019626085771088826,166.81005372000593,balanced,500,liblinear,"{'clf__C': 166.81005372000593, 'clf__class_weight': 'balanced', 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.8212886138098006,0.8282138314807679,0.8380840042543418,0.8291954831816367,0.006891734909416788,10
66,0.5071675777435303,0.0051786050955226455,0.05656727155049642,0.002341256497171717,166.81005372000593,balanced,100,liblinear,"{'clf__C': 166.81005372000593, 'clf__class_weight': 'balanced', 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.8212886138098006,0.8282138314807679,0.8380840042543418,0.8291954831816367,0.006891734909416788,10
