,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_clf__fit_prior,param_clf__force_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2,0.09409340222676595,0.0015905451984736525,0.049065351486206055,0.00397701697477148,0.1,False,True,"{'clf__alpha': 0.1, 'clf__fit_prior': False, 'clf__force_alpha': True}",0.8119924820122011,0.827088434518801,0.8277937105139785,0.8222915423483269,0.007288225042844242,1
3,0.09861667950948079,0.008013000592114496,0.046415249506632485,0.0007837216855183371,0.1,False,False,"{'clf__alpha': 0.1, 'clf__fit_prior': False, 'clf__force_alpha': False}",0.8119924820122011,0.827088434518801,0.8277937105139785,0.8222915423483269,0.007288225042844242,1
6,0.09562373161315918,0.001274252596001125,0.04623246192932129,0.001004906961695619,0.25555555555555554,False,True,"{'clf__alpha': 0.25555555555555554, 'clf__fit_prior': False, 'clf__force_alpha': True}",0.8110120695545344,0.8233263367241278,0.8301339900616154,0.8214907987800926,0.007913653207285733,3
7,0.09986941019694011,0.004703284787773471,0.047353267669677734,0.0012472062596236059,0.25555555555555554,False,False,"{'clf__alpha': 0.25555555555555554, 'clf__fit_prior': False, 'clf__force_alpha': False}",0.8110120695545344,0.8233263367241278,0.8301339900616154,0.8214907987800926,0.007913653207285733,3
10,0.09872555732727051,0.005059258910842912,0.04727951685587565,0.0012100392409264747,0.4111111111111111,False,True,"{'clf__alpha': 0.4111111111111111, 'clf__fit_prior': False, 'clf__force_alpha': True}",0.8034293660433562,0.8146760075435046,0.8198147414006902,0.8126400383291837,0.006842465899631442,5
11,0.09738071759541829,0.0008221251884539438,0.04769150416056315,0.0015135581614163253,0.4111111111111111,False,False,"{'clf__alpha': 0.4111111111111111, 'clf__fit_prior': False, 'clf__force_alpha': False}",0.8034293660433562,0.8146760075435046,0.8198147414006902,0.8126400383291837,0.006842465899631442,5
15,0.09358692169189453,0.0011444901563552722,0.046035210291544594,0.0001672480228314314,0.5666666666666667,False,False,"{'clf__alpha': 0.5666666666666667, 'clf__fit_prior': False, 'clf__force_alpha': False}",0.7950515724477107,0.7989327163064671,0.8148961355457454,0.8029601414333077,0.008587463187779408,7
14,0.09923275311787923,0.008209754416368443,0.04609076182047526,0.001460760954214707,0.5666666666666667,False,True,"{'clf__alpha': 0.5666666666666667, 'clf__fit_prior': False, 'clf__force_alpha': True}",0.7950515724477107,0.7989327163064671,0.8148961355457454,0.8029601414333077,0.008587463187779408,7
19,0.09792168935139973,0.004755940674222944,0.04672098159790039,0.00040787935306431985,0.7222222222222222,False,False,"{'clf__alpha': 0.7222222222222222, 'clf__fit_prior': False, 'clf__force_alpha': False}",0.7751122087557158,0.7881678356537739,0.8062112601909421,0.7898304348668107,0.012750449067911434,9
18,0.09585388501485188,0.0019213182001514468,0.04705659548441569,0.0005407297398535174,0.7222222222222222,False,True,"{'clf__alpha': 0.7222222222222222, 'clf__fit_prior': False, 'clf__force_alpha': True}",0.7751122087557158,0.7881678356537739,0.8062112601909421,0.7898304348668107,0.012750449067911434,9
0,0.13086875279744467,0.008128075457462322,0.06015316645304362,0.010681057419974821,0.1,True,True,"{'clf__alpha': 0.1, 'clf__fit_prior': True, 'clf__force_alpha': True}",0.7659656329466258,0.7852855635441719,0.8019049694744317,0.7843853886550765,0.014685973208880628,11
1,0.10582637786865234,0.0025502306502745028,0.05534203847249349,0.0044711553918904455,0.1,True,False,"{'clf__alpha': 0.1, 'clf__fit_prior': True, 'clf__force_alpha': False}",0.7659656329466258,0.7852855635441719,0.8019049694744317,0.7843853886550765,0.014685973208880628,11
22,0.14149975776672363,0.032596463479789,0.06949742635091145,0.015973052677656505,0.8777777777777778,False,True,"{'clf__alpha': 0.8777777777777778, 'clf__fit_prior': False, 'clf__force_alpha': True}",0.7674421642753662,0.7759246689420647,0.790001228719323,0.7777893539789179,0.009303606285079195,13
23,0.16398358345031738,0.005818905329632749,0.08054526646931966,0.0015049750785869887,0.8777777777777778,False,False,"{'clf__alpha': 0.8777777777777778, 'clf__fit_prior': False, 'clf__force_alpha': False}",0.7674421642753662,0.7759246689420647,0.790001228719323,0.7777893539789179,0.009303606285079195,13
27,0.09775312741597493,0.0035716442190713927,0.04664842287699381,0.0008844396196946102,1.0333333333333334,False,False,"{'clf__alpha': 1.0333333333333334, 'clf__fit_prior': False, 'clf__force_alpha': False}",0.7598251842937587,0.7659121411777561,0.7743726761685963,0.7667033338800371,0.00596528118260006,15
26,0.12953082720438638,0.029542569820597116,0.06008211771647135,0.018100407179921237,1.0333333333333334,False,True,"{'clf__alpha': 1.0333333333333334, 'clf__fit_prior': False, 'clf__force_alpha': True}",0.7598251842937587,0.7659121411777561,0.7743726761685963,0.7667033338800371,0.00596528118260006,15
