,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__class_weight,param_clf__tol,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
19,0.15397024154663086,0.0013739261962960503,0.05446767807006836,0.005369444717237225,balanced,0.05179474679231213,"{'clf__class_weight': 'balanced', 'clf__tol': 0.05179474679231213}",0.8308524560607429,0.8419769512942457,0.8362393591836301,0.8363562555128728,0.004542308305542412,1
15,0.3403513431549072,0.005213675745868333,0.0938718318939209,0.007498905574444563,balanced,1e-05,"{'clf__class_weight': 'balanced', 'clf__tol': 1e-05}",0.8308524560607429,0.8419769512942457,0.8355784902995357,0.8361359658848414,0.004558631579850508,2
18,0.17037073771158853,0.008133992973914735,0.052261034647623696,0.0011004137881278186,balanced,0.006105402296585327,"{'clf__class_weight': 'balanced', 'clf__tol': 0.006105402296585327}",0.8308524560607429,0.8419769512942457,0.8355784902995357,0.8361359658848414,0.004558631579850508,2
17,0.1828900178273519,0.0008908175839090702,0.05237666765848795,0.001721334284284184,balanced,0.0007196856730011522,"{'clf__class_weight': 'balanced', 'clf__tol': 0.0007196856730011522}",0.8308524560607429,0.8419769512942457,0.8355784902995357,0.8361359658848414,0.004558631579850508,2
16,0.2349254290262858,0.03921195331494825,0.05337937672932943,0.0024892816169363014,balanced,8.483428982440725e-05,"{'clf__class_weight': 'balanced', 'clf__tol': 8.483428982440725e-05}",0.8308524560607429,0.8419769512942457,0.8355784902995357,0.8361359658848414,0.004558631579850508,2
20,0.133134126663208,0.0017070312067627629,0.05099010467529297,0.00024925162069384097,balanced,0.4393970560760795,"{'clf__class_weight': 'balanced', 'clf__tol': 0.4393970560760795}",0.8310777516335093,0.8410195326200411,0.8353827016611968,0.8358266619715824,0.004070837576710712,6
5,0.13290325800577799,0.001893288830418986,0.05192152659098307,0.0012542232784872745,,0.4393970560760795,"{'clf__class_weight': None, 'clf__tol': 0.4393970560760795}",0.8313318449239238,0.8328561513569261,0.8415229166048412,0.8352369709618971,0.004488185379041285,7
4,0.1516446272532145,0.005566951872674152,0.05197819073994955,0.00283866981063824,,0.05179474679231213,"{'clf__class_weight': None, 'clf__tol': 0.05179474679231213}",0.8323506569870784,0.8327296740705061,0.8374774194623136,0.834185916839966,0.0023325816344518355,8
1,0.19436081250508627,0.007212313249366822,0.05620082219441732,0.004673705868735268,,8.483428982440725e-05,"{'clf__class_weight': None, 'clf__tol': 8.483428982440725e-05}",0.8317875750475889,0.8321876302342204,0.8379030304289233,0.8339594119035776,0.00279333806799625,9
0,0.21059672037760416,0.007879746457582437,0.061873674392700195,0.01102453953510755,,1e-05,"{'clf__class_weight': None, 'clf__tol': 1e-05}",0.8317875750475889,0.8321876302342204,0.8379030304289233,0.8339594119035776,0.00279333806799625,9
2,0.17498334248860678,0.0010211261930323113,0.05254554748535156,0.0020485047058688456,,0.0007196856730011522,"{'clf__class_weight': None, 'clf__tol': 0.0007196856730011522}",0.8317875750475889,0.8321876302342204,0.8379030304289233,0.8339594119035776,0.00279333806799625,9
3,0.19843403498331705,0.05096110764986872,0.05210296312967936,0.0010928043179473086,,0.006105402296585327,"{'clf__class_weight': None, 'clf__tol': 0.006105402296585327}",0.8317875750475889,0.8321876302342204,0.8379030304289233,0.8339594119035776,0.00279333806799625,9
26,0.09195661544799805,0.0007543564847487147,0.05658968289693197,0.00457037358345631,balanced,163789.3706954068,"{'clf__class_weight': 'balanced', 'clf__tol': 163789.3706954068}",0.7938240019724514,0.7818137414204532,0.8037908871217807,0.7931428768382284,0.008985049874864239,13
22,0.09891740481058757,0.004046396825962675,0.05149451891581217,0.0011551673577274585,balanced,31.622776601683793,"{'clf__class_weight': 'balanced', 'clf__tol': 31.622776601683793}",0.7857162838830158,0.7806366487477105,0.7978231926035156,0.788058708411414,0.007209231902235215,14
6,0.09433619181315105,0.0014369088986097836,0.05641055107116699,0.007520308380489118,,3.727593720314938,"{'clf__class_weight': None, 'clf__tol': 3.727593720314938}",0.7577718224819054,0.7824776210882938,0.8167682437939199,0.7856725624547064,0.024190909720489203,15
27,0.09195200602213542,0.0009177003413857744,0.05131959915161133,0.0012157159652092639,balanced,1389495.494373136,"{'clf__class_weight': 'balanced', 'clf__tol': 1389495.494373136}",0.754220183315695,0.7817270022627287,0.8176171328360469,0.7845214394714901,0.025957015257367256,16
9,0.09416699409484863,0.0032786136489316303,0.05370680491129557,0.0011374147628655524,,2275.845926074791,"{'clf__class_weight': None, 'clf__tol': 2275.845926074791}",0.7894141545042945,0.7705772915347294,0.7879320717024432,0.782641172580489,0.008551883292490394,17
10,0.09171056747436523,0.0007485622272061286,0.050796111424764,0.0007120570165144558,,19306.977288832535,"{'clf__class_weight': None, 'clf__tol': 19306.977288832535}",0.769376050051535,0.78399037635869,0.7939370492510309,0.7824344918870852,0.010087161899700218,18
8,0.09329915046691895,0.0005191726468536426,0.0532681941986084,0.001095049932684071,,268.2695795279727,"{'clf__class_weight': None, 'clf__tol': 268.2695795279727}",0.7849493897529927,0.8009433172289636,0.7607323114813327,0.782208339487763,0.016530099076661912,19
13,0.14647483825683594,0.01547018737187756,0.08948071797688802,0.002476725557988278,,11787686.347935867,"{'clf__class_weight': None, 'clf__tol': 11787686.347935867}",0.7585055023750901,0.7853374477856738,0.8026376566079778,0.7821602022562472,0.01815641165308725,20
12,0.09042612711588542,0.0007637170051365943,0.05149157842000326,0.0017036770897003943,,1389495.494373136,"{'clf__class_weight': None, 'clf__tol': 1389495.494373136}",0.7641815520597077,0.7840942361292165,0.7978323429919779,0.7820360437269674,0.013814751766749107,21
23,0.09682114919026692,0.004091417130450277,0.05253378550211588,0.0010737282348207192,balanced,268.2695795279727,"{'clf__class_weight': 'balanced', 'clf__tol': 268.2695795279727}",0.7808326717758162,0.7714823717820921,0.7856925561716726,0.779335866576527,0.005897041882725797,22
24,0.09136136372884114,0.0018946555135493654,0.05411879221598307,0.0069266116729747645,balanced,2275.845926074791,"{'clf__class_weight': 'balanced', 'clf__tol': 2275.845926074791}",0.7684500720558076,0.8071088173954009,0.7604416199426385,0.7786668364646157,0.02037553329793019,23
25,0.09553186098734538,0.0029426207210584633,0.05157574017842611,0.0009198521320274932,balanced,19306.977288832535,"{'clf__class_weight': 'balanced', 'clf__tol': 19306.977288832535}",0.7432350565118104,0.7784384115312997,0.8073339508135553,0.7763358062855552,0.02621046577598523,24
