,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_clf__fit_prior,param_clf__force_alpha,param_tfidf__binary,param_tfidf__lowercase,param_tfidf__ngram_range,param_tfidf__stop_words,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
55,0.02887892723083496,0.00010796983947189641,0.012647867202758789,0.00012803011100212232,0.1,False,True,True,False,"(1, 1)",english,"{'clf__alpha': 0.1, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': True, 'tfidf__lowercase': False, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.905396174863388,0.8594155844155844,0.8820926243567753,0.8823014612119159,0.018772078274327357,1
79,0.029390652974446613,0.0005894835390545833,0.012747605641682943,0.000522397915616749,0.1,False,False,True,False,"(1, 1)",english,"{'clf__alpha': 0.1, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': True, 'tfidf__lowercase': False, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.905396174863388,0.8594155844155844,0.8820926243567753,0.8823014612119159,0.018772078274327357,1
253,0.028847535451253254,0.0007511111190605451,0.01302337646484375,0.000443567882925971,0.4111111111111111,False,True,False,True,"(1, 1)",english,"{'clf__alpha': 0.4111111111111111, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': False, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8827280708890968,0.856439393939394,0.8874158249158249,0.8755277632481052,0.01363251362498468,3
277,0.02766307195027669,0.0003768927621717458,0.01212159792582194,0.00028284130620443365,0.4111111111111111,False,False,False,True,"(1, 1)",english,"{'clf__alpha': 0.4111111111111111, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': False, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8827280708890968,0.856439393939394,0.8874158249158249,0.8755277632481052,0.01363251362498468,3
61,0.029265562693277996,0.0008839001395715537,0.013021151224772135,0.0010148387260843134,0.1,False,True,False,True,"(1, 1)",english,"{'clf__alpha': 0.1, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': False, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.905396174863388,0.8227493556197766,0.8874158249158249,0.8718537851329965,0.0354895007424571,5
85,0.02921183904012044,0.0006497911449372746,0.015888134638468426,0.004736765727554734,0.1,False,False,False,True,"(1, 1)",english,"{'clf__alpha': 0.1, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': False, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.905396174863388,0.8227493556197766,0.8874158249158249,0.8718537851329965,0.0354895007424571,5
73,0.02795092264811198,0.0003212689149259091,0.012330849965413412,0.00041396507114870354,0.1,False,False,True,True,"(1, 1)",english,"{'clf__alpha': 0.1, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.9199871243648403,0.835483870967742,0.8481489422527159,0.8678733125284328,0.037211002367165,7
49,0.028066317240397137,0.0007250135155125308,0.012393315633138021,0.00010563249581353826,0.1,False,True,True,True,"(1, 1)",english,"{'clf__alpha': 0.1, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.9199871243648403,0.835483870967742,0.8481489422527159,0.8678733125284328,0.037211002367165,7
181,0.04819750785827637,0.0013796867262492885,0.02175251642862956,0.0009400036877612553,0.25555555555555554,False,False,False,True,"(1, 1)",english,"{'clf__alpha': 0.25555555555555554, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': False, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8827280708890968,0.8278235653235653,0.8874158249158249,0.8659891537094957,0.027054917754904557,9
157,0.028209606806437176,0.0006026133964436198,0.012226263682047525,0.00033762867575830833,0.25555555555555554,False,True,False,True,"(1, 1)",english,"{'clf__alpha': 0.25555555555555554, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': False, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8827280708890968,0.8278235653235653,0.8874158249158249,0.8659891537094957,0.027054917754904557,9
