,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__max_iter,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
82,1.666706879933675,0.43369132401693217,0.0435335636138916,0.0006505520240193821,4641.588833612773,balanced,500,liblinear,"{'clf__C': np.float64(4641.588833612773), 'clf__class_weight': 'balanced', 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.7284560737288023,0.7110040020426202,0.7104438682425799,0.7166346480046674,0.008362137568904042,1
78,1.9165523846944172,0.7500767128268677,0.04740436871846517,0.0031642862221637,4641.588833612773,balanced,100,liblinear,"{'clf__C': np.float64(4641.588833612773), 'clf__class_weight': 'balanced', 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.7284560737288023,0.7110040020426202,0.7104438682425799,0.7166346480046674,0.008362137568904042,1
80,1.919064203898112,2.0301182285678823,0.043322245279947914,0.0013046287063095414,4641.588833612773,balanced,200,liblinear,"{'clf__C': np.float64(4641.588833612773), 'clf__class_weight': 'balanced', 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.7284560737288023,0.7110040020426202,0.7104438682425799,0.7166346480046674,0.008362137568904042,1
72,1.529801368713379,0.1256449464043979,0.04450082778930664,0.0017307738019147628,4641.588833612773,,100,liblinear,"{'clf__C': np.float64(4641.588833612773), 'clf__class_weight': None, 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.7284085684835283,0.7109463093422567,0.7104438682425799,0.7165995820227883,0.008352733392413807,4
76,1.470035711924235,0.31861337186883015,0.047102769215901695,0.00371625688416464,4641.588833612773,,500,liblinear,"{'clf__C': np.float64(4641.588833612773), 'clf__class_weight': None, 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.7284085684835283,0.7109463093422567,0.7104438682425799,0.7165995820227883,0.008352733392413807,4
74,1.979134480158488,0.17632789799078513,0.046053806940714516,0.001693016092093963,4641.588833612773,,200,liblinear,"{'clf__C': np.float64(4641.588833612773), 'clf__class_weight': None, 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.7284085684835283,0.7109463093422567,0.7104438682425799,0.7165995820227883,0.008352733392413807,4
90,1.9274121920267742,0.4146825601119275,0.04444082578023275,0.000668296685555005,129154.96650148826,balanced,100,liblinear,"{'clf__C': np.float64(129154.96650148826), 'clf__class_weight': 'balanced', 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.7260364228405317,0.7079334111862278,0.7141049833013456,0.7160249391093684,0.007514183498226817,7
92,1.699967384338379,0.09204921970811827,0.045319557189941406,0.0021294002548810577,129154.96650148826,balanced,200,liblinear,"{'clf__C': np.float64(129154.96650148826), 'clf__class_weight': 'balanced', 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.7260364228405317,0.7079334111862278,0.7141049833013456,0.7160249391093684,0.007514183498226817,7
94,1.587580919265747,0.1156092295979544,0.04562815030415853,0.0006795736547509568,129154.96650148826,balanced,500,liblinear,"{'clf__C': np.float64(129154.96650148826), 'clf__class_weight': 'balanced', 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.7260364228405317,0.7079334111862278,0.7141049833013456,0.7160249391093684,0.007514183498226817,7
64,0.7959230740865072,0.04551424373223982,0.040561834971110024,0.0026564738193687906,166.81005372000593,,500,liblinear,"{'clf__C': np.float64(166.81005372000593), 'clf__class_weight': None, 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.7285092181926559,0.7109560413011317,0.7084255360261915,0.7159635985066597,0.008931043022919805,10
70,2.6681291262308755,0.9935298873403928,0.048436482747395836,0.007236663547209079,166.81005372000593,balanced,500,liblinear,"{'clf__C': np.float64(166.81005372000593), 'clf__class_weight': 'balanced', 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.7285092181926559,0.7109560413011317,0.7084255360261915,0.7159635985066597,0.008931043022919805,10
60,0.5040163199106852,0.08519319916219838,0.053232828776041664,0.019912375319623758,166.81005372000593,,100,liblinear,"{'clf__C': np.float64(166.81005372000593), 'clf__class_weight': None, 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.7285092181926559,0.7109560413011317,0.7084255360261915,0.7159635985066597,0.008931043022919805,10
