,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__max_iter,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
54,0.23592678705851236,0.0021869554379298885,0.04069058100382487,0.009183963771516715,5.994842503189409,balanced,100,liblinear,"{'clf__C': np.float64(5.994842503189409), 'clf__class_weight': 'balanced', 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.8153499957369648,0.8334725144321602,0.832665871927982,0.827162794032369,0.008359398730702888,1
56,0.25257205963134766,0.012149836583798816,0.03073541323343913,0.000718126426044634,5.994842503189409,balanced,200,liblinear,"{'clf__C': np.float64(5.994842503189409), 'clf__class_weight': 'balanced', 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.8153499957369648,0.8334725144321602,0.832665871927982,0.827162794032369,0.008359398730702888,1
58,0.26310547192891437,0.015988016537874496,0.030722935994466145,0.0010795004629327266,5.994842503189409,balanced,500,liblinear,"{'clf__C': np.float64(5.994842503189409), 'clf__class_weight': 'balanced', 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.8153499957369648,0.8334725144321602,0.832665871927982,0.827162794032369,0.008359398730702888,1
55,1.3031951586405437,0.2021569288001755,0.03972403208414713,0.0034172594872048942,5.994842503189409,balanced,100,lbfgs,"{'clf__C': np.float64(5.994842503189409), 'clf__class_weight': 'balanced', 'clf__max_iter': 100, 'clf__solver': 'lbfgs'}",0.8140976180747517,0.8320411462579893,0.8300597582754945,0.8253995075360785,0.008032475900216213,4
59,1.2146353721618652,0.10298658811881227,0.04311084747314453,0.006326053069649934,5.994842503189409,balanced,500,lbfgs,"{'clf__C': np.float64(5.994842503189409), 'clf__class_weight': 'balanced', 'clf__max_iter': 500, 'clf__solver': 'lbfgs'}",0.8140976180747517,0.8320411462579893,0.8300597582754945,0.8253995075360785,0.008032475900216213,4
57,1.191728909810384,0.1255163642429701,0.04601311683654785,0.0030712922006557006,5.994842503189409,balanced,200,lbfgs,"{'clf__C': np.float64(5.994842503189409), 'clf__class_weight': 'balanced', 'clf__max_iter': 200, 'clf__solver': 'lbfgs'}",0.8140976180747517,0.8320411462579893,0.8300597582754945,0.8253995075360785,0.008032475900216213,4
70,0.31433502833048504,0.0011807089096830886,0.03091287612915039,0.000849678525884382,166.81005372000593,balanced,500,liblinear,"{'clf__C': np.float64(166.81005372000593), 'clf__class_weight': 'balanced', 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.8029647652551954,0.8290877999774678,0.8311506022734041,0.8210677225020224,0.012828395174725091,7
68,0.31328845024108887,0.0008098855823600937,0.037614901860555015,0.006892307427982296,166.81005372000593,balanced,200,liblinear,"{'clf__C': np.float64(166.81005372000593), 'clf__class_weight': 'balanced', 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.8029647652551954,0.8290877999774678,0.8311506022734041,0.8210677225020224,0.012828395174725091,7
66,0.31365108489990234,0.0019515183607213854,0.03841114044189453,0.009431306946045126,166.81005372000593,balanced,100,liblinear,"{'clf__C': np.float64(166.81005372000593), 'clf__class_weight': 'balanced', 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.8029647652551954,0.8290877999774678,0.8311506022734041,0.8210677225020224,0.012828395174725091,7
52,0.23160775502522787,0.006125598552756874,0.03141593933105469,0.00021394220775021688,5.994842503189409,,500,liblinear,"{'clf__C': np.float64(5.994842503189409), 'clf__class_weight': None, 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.8104181937031663,0.822940954133866,0.8283763726588398,0.8205785068319574,0.007519304745862284,10
