,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_clf__fit_prior,param_clf__force_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3,0.06695699691772461,0.006199888957767489,0.03328967094421387,0.0006429558382541609,0.1,False,False,"{'clf__alpha': np.float64(0.1), 'clf__fit_prior': False, 'clf__force_alpha': False}",0.805034177076589,0.8209095686132425,0.8171630265674614,0.8143689240857643,0.006775557572096044,1
2,0.06300147374471028,3.301865397027235e-05,0.03145750363667806,0.00021769564561025559,0.1,False,True,"{'clf__alpha': np.float64(0.1), 'clf__fit_prior': False, 'clf__force_alpha': True}",0.805034177076589,0.8209095686132425,0.8171630265674614,0.8143689240857643,0.006775557572096044,1
6,0.06372578938802083,0.0010338501922547976,0.035892645517985024,0.007949536150426668,0.25555555555555554,False,True,"{'clf__alpha': np.float64(0.25555555555555554), 'clf__fit_prior': False, 'clf__force_alpha': True}",0.8076390864995706,0.8220050342960779,0.8111478464785875,0.8135973224247453,0.006115284857420631,3
7,0.06827147801717122,0.0072997878408553795,0.0312504768371582,2.9042084103188417e-05,0.25555555555555554,False,False,"{'clf__alpha': np.float64(0.25555555555555554), 'clf__fit_prior': False, 'clf__force_alpha': False}",0.8076390864995706,0.8220050342960779,0.8111478464785875,0.8135973224247453,0.006115284857420631,3
10,0.0669233004252116,0.003970023170628044,0.02756659189860026,0.0037183660565387115,0.4111111111111111,False,True,"{'clf__alpha': np.float64(0.4111111111111111), 'clf__fit_prior': False, 'clf__force_alpha': True}",0.7938471597311463,0.8182171536613269,0.8022901555488983,0.8047848229804572,0.010104179835916749,5
11,0.06279150644938152,0.00021727458347007932,0.03754838307698568,0.0069805122801948625,0.4111111111111111,False,False,"{'clf__alpha': np.float64(0.4111111111111111), 'clf__fit_prior': False, 'clf__force_alpha': False}",0.7938471597311463,0.8182171536613269,0.8022901555488983,0.8047848229804572,0.010104179835916749,5
15,0.06845474243164062,0.006886003676332979,0.031221946080525715,0.000772729519461606,0.5666666666666667,False,False,"{'clf__alpha': np.float64(0.5666666666666667), 'clf__fit_prior': False, 'clf__force_alpha': False}",0.7802204814256115,0.7987293487503656,0.7964147873437546,0.7917882058399105,0.008234014198033308,7
14,0.06258956591288249,8.620787089911248e-05,0.036874612172444664,0.007225263912240123,0.5666666666666667,False,True,"{'clf__alpha': np.float64(0.5666666666666667), 'clf__fit_prior': False, 'clf__force_alpha': True}",0.7802204814256115,0.7987293487503656,0.7964147873437546,0.7917882058399105,0.008234014198033308,7
18,0.06134661038716634,0.0020476310941668517,0.03358809153238932,0.001680834144856653,0.7222222222222222,False,True,"{'clf__alpha': np.float64(0.7222222222222222), 'clf__fit_prior': False, 'clf__force_alpha': True}",0.7710585916460888,0.7793796793380054,0.7841244643885643,0.7781875784575529,0.005400313942264405,9
19,0.06601301829020183,0.010006382128646013,0.03490924835205078,0.00593163791693372,0.7222222222222222,False,False,"{'clf__alpha': np.float64(0.7222222222222222), 'clf__fit_prior': False, 'clf__force_alpha': False}",0.7710585916460888,0.7793796793380054,0.7841244643885643,0.7781875784575529,0.005400313942264405,9
1,0.06811324755350749,0.00745692595379496,0.03137723604838053,0.00022423959907037167,0.1,True,False,"{'clf__alpha': np.float64(0.1), 'clf__fit_prior': True, 'clf__force_alpha': False}",0.7695548424426506,0.7841383392283152,0.7780995813684017,0.777264254346456,0.0059829158470636095,11
0,0.06737089157104492,0.009268054738779855,0.03693747520446777,0.007059546592119329,0.1,True,True,"{'clf__alpha': np.float64(0.1), 'clf__fit_prior': True, 'clf__force_alpha': True}",0.7695548424426506,0.7841383392283152,0.7780995813684017,0.777264254346456,0.0059829158470636095,11
