,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__class_weight,param_clf__tol,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4,0.12743337949117026,0.001762735735948083,0.041164398193359375,0.0011351497562421978,,0.05179474679231213,"{'clf__class_weight': None, 'clf__tol': np.float64(0.05179474679231213)}",0.8149847768332238,0.8338451714088769,0.8355922831550195,0.8281407437990401,0.00932997677623457,1
5,0.12107253074645996,0.006344735651989855,0.043308655420939125,0.0016033335666509048,,0.4393970560760795,"{'clf__class_weight': None, 'clf__tol': np.float64(0.4393970560760795)}",0.8131078619158474,0.8347509781376303,0.8361781297171242,0.8280123232568674,0.010555138284493839,2
20,0.11282785733540852,0.00340297645817789,0.04309805234273275,0.0018534596991315567,balanced,0.4393970560760795,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(0.4393970560760795)}",0.8147059655252151,0.8346592575039985,0.834129527153737,0.827831583394317,0.009283732614821814,3
1,0.16786654790242514,0.005976615900876343,0.0443581740061442,0.002678962610198658,,8.483428982440725e-05,"{'clf__class_weight': None, 'clf__tol': np.float64(8.483428982440725e-05)}",0.814210447521474,0.8334355047479152,0.8358161646036254,0.8278207056243382,0.009672856508708035,4
3,0.15642849604288736,0.01800462850846431,0.04762371381123861,0.0063865874774254846,,0.006105402296585327,"{'clf__class_weight': None, 'clf__tol': np.float64(0.006105402296585327)}",0.814210447521474,0.8334355047479152,0.8358161646036254,0.8278207056243382,0.009672856508708035,4
0,0.2002108891805013,0.02204027529140837,0.04779831568400065,0.0026923079246668766,,1e-05,"{'clf__class_weight': None, 'clf__tol': np.float64(1e-05)}",0.814210447521474,0.8334355047479152,0.8358161646036254,0.8278207056243382,0.009672856508708035,4
2,0.14989511171976724,0.0015123810444371893,0.04586974779764811,0.0034059596261310824,,0.0007196856730011522,"{'clf__class_weight': None, 'clf__tol': np.float64(0.0007196856730011522)}",0.814210447521474,0.8334355047479152,0.8358161646036254,0.8278207056243382,0.009672856508708035,4
19,0.1302026112874349,0.0017364602556767784,0.04285836219787598,0.00043892340231373297,balanced,0.05179474679231213,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(0.05179474679231213)}",0.8147295303203688,0.8326987501697825,0.8353206787823653,0.8275829864241722,0.00915158011025676,8
16,0.1700146198272705,0.006534226236593797,0.04572153091430664,0.001064815615223396,balanced,8.483428982440725e-05,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(8.483428982440725e-05)}",0.8134728264475498,0.8335126994167543,0.8356129473731304,0.8275328244124781,0.009978824828936785,9
15,0.192106564839681,0.002912299650436424,0.04528307914733887,0.008554559342997347,balanced,1e-05,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(1e-05)}",0.8134728264475498,0.8335126994167543,0.8356129473731304,0.8275328244124781,0.009978824828936785,9
17,0.16384426752726236,0.006202089765081691,0.0438690980275472,0.0007678555592591225,balanced,0.0007196856730011522,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(0.0007196856730011522)}",0.8134728264475498,0.8335126994167543,0.8356129473731304,0.8275328244124781,0.009978824828936785,9
18,0.14799698193868002,0.003153086242443377,0.045781453450520836,0.0027238764143860798,balanced,0.006105402296585327,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(0.006105402296585327)}",0.8134728264475498,0.8335126994167543,0.8356129473731304,0.8275328244124781,0.009978824828936785,9
29,0.08573643366495769,0.007003613605125571,0.043838898340861,0.0009215811524098915,balanced,100000000.0,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(100000000.0)}",0.7800122320393349,0.8023263311827098,0.7817398934775461,0.7880261522331969,0.01013632221279291,13
6,0.08104157447814941,0.002196480310745026,0.0443873405456543,0.0021924217805570005,,3.727593720314938,"{'clf__class_weight': None, 'clf__tol': np.float64(3.727593720314938)}",0.7640071457309195,0.7998147958092663,0.7967809290396357,0.7868676235266072,0.016212180003098757,14
11,0.08507410685221355,0.0030443033698360324,0.04688382148742676,0.005738615407328701,,163789.3706954068,"{'clf__class_weight': None, 'clf__tol': np.float64(163789.3706954068)}",0.7693511154897608,0.7823810887219418,0.8063478639662987,0.7860266893926671,0.015322263815482066,15
26,0.08557542165120442,0.00431253904317065,0.04442731539408366,0.0010513129417485134,balanced,163789.3706954068,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(163789.3706954068)}",0.7733584904665229,0.7976074720204116,0.7862120543033276,0.7857260055967541,0.0099055694471706,16
25,0.08031638463338216,0.0035060358529375854,0.04931124051411947,0.009893688824381715,balanced,19306.977288832535,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(19306.977288832535)}",0.7723452690347485,0.7812402455497657,0.7918389052605972,0.7818081399483704,0.00796836835504002,17
28,0.08534590403238933,0.001071167922153519,0.046361049016316734,0.0015997759018976446,balanced,11787686.347935867,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(11787686.347935867)}",0.7799704017944098,0.7954812334400305,0.7570823879044505,0.7775113410462969,0.01577240352511343,18
9,0.08395767211914062,0.003936464248875096,0.042711496353149414,0.0020173240269682016,,2275.845926074791,"{'clf__class_weight': None, 'clf__tol': np.float64(2275.845926074791)}",0.7522112996875843,0.8103384804208151,0.7651414703453356,0.7758970834845783,0.02491926557905495,19
13,0.07814558347066243,0.0008957523053773525,0.0429541269938151,0.0025401522127686095,,11787686.347935867,"{'clf__class_weight': None, 'clf__tol': np.float64(11787686.347935867)}",0.767176501061332,0.809779092087195,0.7452205785905706,0.7740587239130324,0.026801419859885687,20
10,0.08565870920817058,0.003224579039612452,0.047264814376831055,0.007957748215777785,,19306.977288832535,"{'clf__class_weight': None, 'clf__tol': np.float64(19306.977288832535)}",0.785131578432668,0.7620332113589559,0.7730306046308997,0.7733984648075078,0.009433455754216414,21
12,0.08275190989176433,0.0033317059898702486,0.04184349377950033,0.0003818453654560617,,1389495.494373136,"{'clf__class_weight': None, 'clf__tol': np.float64(1389495.494373136)}",0.7986282331608086,0.7702641402102304,0.7449171855731107,0.7712698529813832,0.021938972201321412,22
14,0.0836033821105957,0.004753889292116448,0.045834859212239586,0.0008504160523615244,,100000000.0,"{'clf__class_weight': None, 'clf__tol': np.float64(100000000.0)}",0.757434944115204,0.7700502530173614,0.7819575058839656,0.7698142343388437,0.0100126848726383,23
23,0.08559846878051758,0.002598202853645562,0.04444368680318197,0.003454710113319219,balanced,268.2695795279727,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(268.2695795279727)}",0.7457120588629779,0.7803707156529437,0.7772213845430274,0.7677680530196497,0.01564884937813483,24
21,0.08616089820861816,0.006325975002225446,0.043552398681640625,0.0013486632006076535,balanced,3.727593720314938,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(3.727593720314938)}",0.7548417070020232,0.7494759733685092,0.7984297443194249,0.7675824748966525,0.02192203301836291,25
8,0.08533064524332683,0.0026559807049535964,0.04148554801940918,0.0016539418695943775,,268.2695795279727,"{'clf__class_weight': None, 'clf__tol': np.float64(268.2695795279727)}",0.7560224970156313,0.7431580004468649,0.7886388875222948,0.762606461661597,0.019142260666502584,26
